capture_sec,capture_nanosec,pick_logic_in_age_ms,pick_logic_compute_ms,pick_logic_out_age_ms,n_candidates,target_valid
1785989071,697387451,86.433,1.019,87.323,5,1
1785989071,764066895,88.795,1.087,89.806,5,1
1785989071,797406250,119.963,10.058,129.876,5,1
1785989071,864084717,94.966,1.05,95.942,5,1
1785989071,930762695,93.92,1.025,94.872,5,1
1785989071,997439941,92.913,2.859,95.689,5,1
1785989072,64116699,119.426,1.231,120.575,5,1
1785989072,130792969,106.606,1.947,108.469,5,1
1785989072,164130859,128.067,1.363,129.132,5,1
1785989072,230805908,121.217,1.353,122.481,5,1
1785989072,297480713,118.893,1.451,120.247,5,1
1785989072,364155273,102.754,1.631,104.292,5,1
1785989072,397583008,133.781,1.451,135.148,5,1
1785989072,464439453,116.469,4.764,121.143,5,1
1785989072,531297607,92.414,1.071,93.41,5,1
1785989072,598157715,92.587,9.685,102.128,5,1
1785989072,665019531,90.774,1.054,91.756,5,1
1785989072,731882813,87.359,1.056,88.339,5,1
1785989072,798748047,88.321,1.054,89.299,5,1
1785989072,832181396,122.011,5.569,127.431,5,1
1785989072,899049316,98.469,1.416,99.805,5,1
1785989072,965918945,94.89,1.038,95.855,5,1
1785989073,32790283,94.221,1.077,95.224,5,1
1785989073,99663330,106.909,2.304,109.062,5,1
1785989073,133100586,125.65,1.192,126.681,5,1
1785989073,199976074,123.798,1.265,124.981,5,1
1785989073,266853516,121.533,1.692,123.06,5,1
1785989073,333732910,115.044,1.852,116.801,5,1
1785989073,400507568,89.3,1.048,90.277,5,1
1785989073,467179443,86.337,1.094,87.359,5,1
1785989073,533850586,87.113,0.979,88.019,5,1
1785989073,567185791,115.429,1.268,116.613,5,1
1785989073,633855713,88.514,1.058,89.497,5,1
1785989073,700524902,87.358,1.009,88.295,5,1
1785989073,767193359,84.696,1.133,85.755,5,1
1785989073,833860840,89.298,1.086,90.294,5,1
1785989073,867194336,115.404,5.957,121.232,5,1
1785989073,933860840,96.107,1.374,97.387,5,1
1785989073,967193848,116.237,1.725,117.886,5,1
1785989074,33859131,124.916,2.004,126.8,5,1
1785989074,100523682,102.066,1.583,103.561,5,1
1785989074,133855469,119.94,2.19,122.04,5,1
1785989074,167187256,130.118,1.671,131.374,5,1
1785989074,267181396,95.462,1.168,96.552,5,1
